volunteer_id,state,program,skill_area,hours_contributed,months_active
V00158,West Bengal,Healthcare,Teaching,20.3,7
V00159,Bihar,Community Development,Teaching,40.1,17
V00160,Uttar Pradesh,Healthcare,Teaching,45.1,1
V00161,West Bengal,Healthcare,Fundraising,12.5,9
V00162,Jharkhand,Livelihood,Healthcare,49.0,24
V00163,West Bengal,Healthcare,Fundraising,70.5,9
V00164,Delhi,Women Empowerment,Field Operations,55.4,15
V00165,Bihar,Women Empowerment,Teaching,21.7,24
V00166,West Bengal,Livelihood,Fundraising,38.6,15
V00167,West Bengal,Women Empowerment,Technology,41.1,19
V00168,Jharkhand,Livelihood,Fundraising,36.6,24
V00169,Delhi,Community Development,Field Operations,16.5,15
V00170,Bihar,Healthcare,Technology,24.0,20
V00171,West Bengal,Women Empowerment,Teaching,34.7,13
V00172,Jharkhand,Livelihood,Fundraising,44.7,20
V00173,West Bengal,Community Development,Healthcare,28.1,16
V00174,Uttar Pradesh,Healthcare,Teaching,10.1,9
V00175,West Bengal,Education,Field Operations,29.1,14
V00176,West Bengal,Community Development,Healthcare,94.5,9
V00177,Rajasthan,Community Development,Teaching,49.2,10
V00178,Jharkhand,Women Empowerment,Healthcare,44.0,8
V00179,West Bengal,Livelihood,Field Operations,23.7,12
V00180,Delhi,Livelihood,Fundraising,30.0,9
V00181,West Bengal,Women Empowerment,Field Operations,9.5,16
V00182,West Bengal,Women Empowerment,Fundraising,22.7,9
V00183,West Bengal,Healthcare,Teaching,47.8,12
V00184,Rajasthan,Education,Healthcare,44.2,4
V00185,Bihar,Education,Teaching,26.4,10
V00186,West Bengal,Healthcare,Fundraising,36.6,9
V00187,West Bengal,Women Empowerment,Healthcare,40.3,24
V00188,Jharkhand,Livelihood,Field Operations,27.3,11
V00189,Jharkhand,Women Empowerment,Healthcare,50.8,1
V00190,West Bengal,Livelihood,Healthcare,43.7,8
V00191,Delhi,Healthcare,Field Operations,30.6,18
V00192,Delhi,Women Empowerment,Fundraising,17.2,4
V00193,West Bengal,Women Empowerment,Teaching,29.3,4
V00194,West Bengal,Community Development,Fundraising,28.1,9
V00195,Uttar Pradesh,Community Development,Healthcare,26.4,9
V00196,West Bengal,Healthcare,Technology,12.9,12
V00197,Uttar Pradesh,Women Empowerment,Fundraising,80.9,1
V00198,Bihar,Healthcare,Technology,78.7,18
V00199,Rajasthan,Community Development,Field Operations,35.8,6
V00200,Uttar Pradesh,Women Empowerment,Technology,44.6,18
V00201,Uttar Pradesh,Community Development,Healthcare,50.3,14
V00202,Uttar Pradesh,Healthcare,Healthcare,36.1,5
V00203,Delhi,Education,Fundraising,46.4,12
V00204,Bihar,Education,Fundraising,54.3,1
V00205,Bihar,Livelihood,Healthcare,42.8,17
V00206,Delhi,Community Development,Field Operations,59.7,8
V00207,Uttar Pradesh,Women Empowerment,Field Operations,25.8,10
V00208,Uttar Pradesh,Community Development,Healthcare,38.6,4
V00209,Rajasthan,Livelihood,Technology,143.0,9
V00210,Jharkhand,Community Development,Field Operations,67.4,10
V00211,Bihar,Community Development,Teaching,43.3,6
V00212,Bihar,Healthcare,Healthcare,21.4,24
V00213,West Bengal,Community Development,Technology,39.7,7
V00214,Uttar Pradesh,Education,Fundraising,64.9,5
V00215,Bihar,Livelihood,Technology,57.7,14
V00216,Jharkhand,Livelihood,Fundraising,10.7,8
V00217,Rajasthan,Healthcare,Teaching,13.3,11
V00218,Delhi,Community Development,Fundraising,13.7,18
V00219,West Bengal,Women Empowerment,Fundraising,50.8,2
V00220,Delhi,Education,Field Operations,13.8,13
V00221,Bihar,Education,Teaching,20.8,1
V00222,West Bengal,Education,Teaching,35.4,2
V00223,Rajasthan,Healthcare,Teaching,70.9,3
V00224,Rajasthan,Education,Fundraising,52.1,4
V00225,Bihar,Healthcare,Field Operations,32.9,9
V00226,Jharkhand,Women Empowerment,Technology,60.6,23
V00227,Jharkhand,Community Development,Field Operations,109.5,22
V00228,Bihar,Women Empowerment,Field Operations,39.9,3
V00229,Rajasthan,Livelihood,Technology,16.6,24
V00230,Bihar,Women Empowerment,Technology,21.2,16
V00231,Uttar Pradesh,Community Development,Healthcare,21.1,14
V00232,Rajasthan,Education,Field Operations,24.3,20
V00233,Jharkhand,Community Development,Technology,31.5,12
V00234,West Bengal,Women Empowerment,Field Operations,45.4,7
V00235,Delhi,Healthcare,Field Operations,14.8,13
V00236,West Bengal,Livelihood,Healthcare,16.8,18
V00237,Bihar,Livelihood,Teaching,54.1,17
V00238,West Bengal,Education,Field Operations,28.2,5
V00239,Bihar,Healthcare,Fundraising,22.6,23
V00240,Uttar Pradesh,Healthcare,Field Operations,33.7,7
V00241,Jharkhand,Education,Technology,77.7,20
V00242,Delhi,Livelihood,Healthcare,58.2,8
V00243,Bihar,Livelihood,Healthcare,56.0,2
V00244,West Bengal,Healthcare,Technology,92.5,24
V00245,Uttar Pradesh,Education,Healthcare,46.7,15
V00246,Rajasthan,Community Development,Healthcare,97.1,6
V00247,Bihar,Women Empowerment,Healthcare,101.4,1
V00248,Uttar Pradesh,Livelihood,Technology,15.2,4
V00249,Uttar Pradesh,Women Empowerment,Teaching,12.3,5
V00250,Jharkhand,Healthcare,Teaching,20.2,23
V00251,Delhi,Healthcare,Teaching,73.5,5
V00252,Bihar,Women Empowerment,Technology,34.1,4
V00253,Jharkhand,Women Empowerment,Teaching,31.6,21
V00254,Rajasthan,Women Empowerment,Fundraising,61.5,22
V00255,Bihar,Livelihood,Teaching,27.3,6
V00256,Uttar Pradesh,Education,Fundraising,43.3,16
V00257,Delhi,Women Empowerment,Teaching,54.1,13
V00258,West Bengal,Women Empowerment,Teaching,21.4,14
V00259,Bihar,Livelihood,Fundraising,18.3,8
V00260,Uttar Pradesh,Healthcare,Technology,39.8,19
V00261,Uttar Pradesh,Community Development,Teaching,42.8,22
V00262,Jharkhand,Healthcare,Fundraising,58.9,18
V00263,Bihar,Healthcare,Field Operations,19.9,22
V00264,Jharkhand,Women Empowerment,Technology,24.8,3
V00265,Delhi,Livelihood,Technology,100.8,16
V00266,Uttar Pradesh,Livelihood,Healthcare,66.6,24
V00267,Rajasthan,Women Empowerment,Field Operations,36.0,13
V00268,West Bengal,Healthcare,Teaching,72.5,23
V00269,West Bengal,Education,Technology,19.9,9
V00270,Rajasthan,Education,Fundraising,33.6,22
V00271,Uttar Pradesh,Community Development,Teaching,4.0,23
V00272,Rajasthan,Livelihood,Field Operations,42.6,15
V00273,Uttar Pradesh,Livelihood,Technology,31.3,17
V00274,Uttar Pradesh,Healthcare,Healthcare,32.0,13
V00275,Jharkhand,Women Empowerment,Teaching,57.3,8
V00276,West Bengal,Community Development,Technology,67.1,13
V00277,Jharkhand,Women Empowerment,Fundraising,29.3,24
V00278,Jharkhand,Livelihood,Teaching,15.8,1
V00279,Delhi,Livelihood,Field Operations,13.6,5
V00280,Jharkhand,Community Development,Technology,8.8,12
V00281,Delhi,Community Development,Fundraising,91.7,9
V00282,Delhi,Healthcare,Healthcare,57.4,15
V00283,Jharkhand,Community Development,Healthcare,50.5,9
V00284,Jharkhand,Community Development,Fundraising,27.0,16
V00285,Uttar Pradesh,Community Development,Teaching,26.9,3
V00286,Bihar,Education,Healthcare,68.3,8
V00287,Uttar Pradesh,Education,Healthcare,12.4,17
V00288,Delhi,Healthcare,Teaching,30.1,12
V00289,Bihar,Women Empowerment,Teaching,73.8,18
V00290,Uttar Pradesh,Education,Healthcare,30.1,16
V00291,Rajasthan,Education,Healthcare,55.8,8
V00292,Uttar Pradesh,Education,Healthcare,36.9,11
V00293,West Bengal,Education,Technology,4.5,24
V00294,Bihar,Community Development,Fundraising,36.0,24
V00295,Rajasthan,Women Empowerment,Teaching,40.3,1
V00296,Uttar Pradesh,Women Empowerment,Field Operations,34.3,17
V00297,Delhi,Healthcare,Technology,17.7,12
V00298,West Bengal,Women Empowerment,Fundraising,34.6,1
V00299,Uttar Pradesh,Women Empowerment,Teaching,9.2,16
V00300,Jharkhand,Livelihood,Field Operations,29.9,1
V00301,West Bengal,Community Development,Technology,58.3,8
V00302,Bihar,Livelihood,Fundraising,88.9,17
V00303,Bihar,Healthcare,Teaching,80.8,20
V00304,West Bengal,Women Empowerment,Teaching,19.6,10
V00305,Uttar Pradesh,Community Development,Healthcare,14.0,20
V00306,Rajasthan,Community Development,Healthcare,42.6,21
V00307,Rajasthan,Livelihood,Healthcare,38.7,11
V00308,Rajasthan,Livelihood,Fundraising,53.5,5
V00309,Rajasthan,Community Development,Teaching,25.6,16
V00310,West Bengal,Women Empowerment,Healthcare,39.4,1
V00311,Delhi,Livelihood,Field Operations,38.2,22
V00312,Rajasthan,Healthcare,Field Operations,30.5,10
V00313,Delhi,Community Development,Teaching,11.7,19
V00314,Jharkhand,Community Development,Technology,57.8,18
V00315,Bihar,Education,Field Operations,42.8,12
V00316,Rajasthan,Education,Fundraising,60.1,24
V00317,Jharkhand,Education,Healthcare,68.3,20
V00318,Rajasthan,Healthcare,Fundraising,36.2,22
V00319,Delhi,Education,Healthcare,58.0,3
V00320,Uttar Pradesh,Community Development,Healthcare,90.0,12
V00321,Jharkhand,Community Development,Field Operations,106.2,23
V00322,Rajasthan,Education,Technology,45.8,20
V00323,Jharkhand,Community Development,Fundraising,47.9,11
V00324,West Bengal,Education,Teaching,45.4,2
V00325,Uttar Pradesh,Women Empowerment,Field Operations,52.4,7
V00326,West Bengal,Healthcare,Teaching,66.6,14
V00327,West Bengal,Education,Technology,44.8,16
V00328,Rajasthan,Livelihood,Healthcare,102.8,23
V00329,Bihar,Community Development,Healthcare,94.8,3
V00330,Delhi,Community Development,Teaching,40.2,10
V00331,Bihar,Education,Healthcare,40.1,7
V00332,Delhi,Community Development,Technology,29.1,24
V00333,West Bengal,Healthcare,Fundraising,54.0,4
V00334,Jharkhand,Livelihood,Teaching,32.2,6
V00335,West Bengal,Education,Healthcare,28.3,8
V00336,West Bengal,Community Development,Teaching,53.3,3
V00337,Rajasthan,Women Empowerment,Fundraising,18.9,16
V00338,Rajasthan,Women Empowerment,Field Operations,67.3,13
V00339,Jharkhand,Women Empowerment,Field Operations,54.6,14
V00340,Rajasthan,Community Development,Field Operations,92.1,22
V00341,Bihar,Education,Teaching,46.3,11
V00342,West Bengal,Healthcare,Fundraising,59.4,8
V00343,Jharkhand,Education,Teaching,6.3,10
V00344,Rajasthan,Livelihood,Fundraising,63.8,20
V00345,Jharkhand,Livelihood,Fundraising,77.3,13
V00346,Uttar Pradesh,Education,Technology,43.3,5
V00347,West Bengal,Women Empowerment,Healthcare,29.0,17
V00348,Rajasthan,Education,Teaching,46.9,18
V00349,Bihar,Women Empowerment,Fundraising,67.2,6
V00350,Bihar,Women Empowerment,Fundraising,72.2,14
