beneficiary_id,state,location_type,program,age,attendance_rate,outcome_score,engagement_level
B00047,Rajasthan,Urban,Healthcare,64,79.2,63.5,Medium
B00048,Bihar,Rural,Women Empowerment,62,62.4,88.5,Medium
B00049,Jharkhand,Urban,Healthcare,18,64.6,65.1,Medium
B00050,Rajasthan,Rural,Healthcare,26,59.0,81.1,Low
B00051,West Bengal,Urban,Education,52,64.1,64.8,Medium
B00052,Uttar Pradesh,Urban,Community Development,47,95.6,68.9,High
B00053,Rajasthan,Urban,Education,42,68.5,38.1,Medium
B00054,Delhi,Rural,Healthcare,67,84.1,67.8,High
B00055,Delhi,Rural,Livelihood,45,67.1,73.3,Medium
B00056,Jharkhand,Urban,Livelihood,48,87.9,66.3,High
B00057,West Bengal,Urban,Healthcare,38,64.7,96.6,Medium
B00058,Bihar,Urban,Healthcare,39,78.5,55.7,Medium
B00059,Jharkhand,Urban,Healthcare,25,78.7,64.1,Medium
B00060,West Bengal,Rural,Community Development,39,100.0,59.3,High
B00061,Jharkhand,Rural,Livelihood,63,86.2,64.1,High
B00062,Uttar Pradesh,Rural,Community Development,30,70.3,86.4,Medium
B00063,Bihar,Urban,Community Development,15,86.9,92.7,High
B00064,Jharkhand,Urban,Women Empowerment,43,100.0,62.2,High
B00065,West Bengal,Rural,Community Development,55,56.8,61.9,Low
B00066,Jharkhand,Urban,Education,65,67.0,55.8,Medium
B00067,Rajasthan,Rural,Community Development,40,74.9,90.3,Medium
B00068,Jharkhand,Urban,Livelihood,55,72.6,87.7,Medium
B00069,Jharkhand,Urban,Women Empowerment,23,73.7,70.5,Medium
B00070,Bihar,Rural,Healthcare,33,61.0,52.5,Medium
B00071,Jharkhand,Urban,Education,33,96.3,53.7,High
B00072,Uttar Pradesh,Rural,Community Development,27,59.5,74.4,Low
B00073,West Bengal,Urban,Livelihood,50,75.4,79.7,Medium
B00074,Bihar,Urban,Education,61,91.6,43.1,High
B00075,Rajasthan,Urban,Women Empowerment,27,77.6,67.5,Medium
B00076,Uttar Pradesh,Urban,Education,16,65.3,94.7,Medium
B00077,Delhi,Rural,Livelihood,57,60.5,69.0,Medium
B00078,Bihar,Urban,Women Empowerment,58,75.0,92.9,Medium
B00079,Uttar Pradesh,Rural,Women Empowerment,64,68.2,81.1,Medium
B00080,Rajasthan,Rural,Livelihood,23,80.7,56.8,High
B00081,Uttar Pradesh,Urban,Healthcare,51,59.8,67.9,Low
B00082,Jharkhand,Urban,Community Development,50,88.6,70.2,High
B00083,Rajasthan,Urban,Education,55,79.5,58.7,Medium
B00084,Jharkhand,Rural,Education,56,80.5,58.4,High
B00085,Bihar,Rural,Education,65,96.7,93.1,High
B00086,Delhi,Urban,Community Development,36,72.3,58.3,Medium
B00087,Delhi,Rural,Livelihood,12,68.6,87.1,Medium
B00088,Uttar Pradesh,Urban,Education,19,70.9,65.9,Medium
B00089,Uttar Pradesh,Urban,Education,61,75.5,71.6,Medium
B00090,Jharkhand,Urban,Education,58,76.8,79.9,Medium
B00091,Delhi,Rural,Community Development,8,67.2,63.6,Medium
B00092,Uttar Pradesh,Urban,Livelihood,30,51.7,80.0,Low
B00093,Delhi,Urban,Education,22,70.7,43.3,Medium
B00094,Delhi,Urban,Healthcare,27,82.7,78.2,High
B00095,Uttar Pradesh,Rural,Women Empowerment,46,79.8,37.4,Medium
B00096,Delhi,Urban,Livelihood,38,93.6,68.8,High
B00097,Rajasthan,Urban,Community Development,36,100.0,84.0,High
B00098,Jharkhand,Urban,Education,34,87.9,80.7,High
B00099,Jharkhand,Rural,Education,46,96.0,53.8,High
B00100,Rajasthan,Urban,Education,48,88.0,55.6,High
B00101,Jharkhand,Rural,Healthcare,10,100.0,62.4,High
B00102,Uttar Pradesh,Urban,Women Empowerment,16,100.0,74.6,High
B00103,Delhi,Urban,Women Empowerment,28,90.4,43.6,High
B00104,Delhi,Rural,Healthcare,34,87.2,71.8,High
B00105,Delhi,Rural,Women Empowerment,67,75.3,76.4,Medium
B00106,Bihar,Urban,Women Empowerment,61,77.5,68.0,Medium
B00107,Bihar,Rural,Education,46,73.6,79.4,Medium
B00108,Delhi,Rural,Women Empowerment,10,86.1,75.1,High
B00109,Rajasthan,Urban,Livelihood,14,68.6,64.4,Medium
B00110,West Bengal,Rural,Education,35,75.5,44.9,Medium
B00111,Rajasthan,Rural,Healthcare,43,47.4,73.9,Low
B00112,Uttar Pradesh,Urban,Women Empowerment,47,100.0,58.7,High
B00113,Delhi,Rural,Women Empowerment,16,75.1,63.9,Medium
B00114,Jharkhand,Urban,Healthcare,61,83.9,78.7,High
B00115,Delhi,Urban,Women Empowerment,37,97.0,91.8,High
B00116,Delhi,Rural,Healthcare,43,81.9,71.5,High
B00117,Delhi,Rural,Livelihood,10,96.8,79.8,High
B00118,Bihar,Rural,Education,57,61.9,51.8,Medium
B00119,Rajasthan,Rural,Community Development,40,100.0,75.4,High
B00120,Rajasthan,Rural,Community Development,21,92.1,71.2,High
B00121,Bihar,Urban,Education,27,80.7,89.2,High
B00122,Delhi,Rural,Livelihood,29,96.5,64.4,High
B00123,Jharkhand,Rural,Women Empowerment,9,62.8,68.6,Medium
B00124,West Bengal,Rural,Livelihood,64,74.2,86.8,Medium
B00125,Rajasthan,Urban,Healthcare,56,96.8,70.7,High
B00126,Delhi,Urban,Community Development,61,53.7,56.5,Low
B00127,West Bengal,Urban,Healthcare,29,85.3,100.0,High
B00128,Rajasthan,Urban,Healthcare,41,84.9,56.9,High
B00129,West Bengal,Urban,Healthcare,35,100.0,71.1,High
B00130,Uttar Pradesh,Rural,Community Development,36,57.4,76.9,Low
B00131,West Bengal,Rural,Livelihood,43,98.9,75.7,High
B00132,Delhi,Urban,Women Empowerment,35,70.7,69.3,Medium
B00133,Bihar,Urban,Community Development,54,72.2,69.4,Medium
B00134,West Bengal,Rural,Community Development,11,62.1,68.7,Medium
B00135,Rajasthan,Urban,Community Development,19,63.9,56.4,Medium
B00136,Delhi,Rural,Community Development,61,83.2,100.0,High
B00137,Delhi,Urban,Community Development,60,63.5,68.9,Medium
B00138,Delhi,Urban,Community Development,57,87.6,80.4,High
B00139,Bihar,Urban,Women Empowerment,30,69.4,67.3,Medium
B00140,Rajasthan,Rural,Education,35,62.2,67.0,Medium
B00141,Bihar,Urban,Education,9,71.1,65.6,Medium
B00142,Jharkhand,Rural,Women Empowerment,24,82.4,50.3,High
B00143,Bihar,Urban,Healthcare,51,74.4,69.8,Medium
B00144,West Bengal,Urban,Community Development,28,78.4,66.3,Medium
B00145,Rajasthan,Rural,Community Development,36,87.1,88.4,High
B00146,Jharkhand,Urban,Women Empowerment,15,92.1,55.2,High
B00147,Jharkhand,Urban,Women Empowerment,37,74.0,63.9,Medium
B00148,West Bengal,Rural,Healthcare,51,64.4,59.4,Medium
B00149,Rajasthan,Rural,Livelihood,42,79.0,92.2,Medium
B00150,Rajasthan,Urban,Community Development,41,84.1,59.8,High
B00151,Uttar Pradesh,Urban,Community Development,62,59.0,79.9,Low
B00152,Jharkhand,Rural,Healthcare,22,66.4,85.6,Medium
B00153,West Bengal,Rural,Community Development,25,68.7,70.0,Medium
B00154,Uttar Pradesh,Rural,Livelihood,45,75.3,52.7,Medium
B00155,West Bengal,Rural,Community Development,36,68.1,52.9,Medium
B00156,Bihar,Rural,Livelihood,66,87.2,84.0,High
B00157,Rajasthan,Urban,Women Empowerment,11,57.1,54.4,Low
B00158,Jharkhand,Urban,Education,15,57.5,77.5,Low
B00159,West Bengal,Rural,Healthcare,28,73.7,73.6,Medium
B00160,West Bengal,Rural,Women Empowerment,35,75.7,77.3,Medium
B00161,Uttar Pradesh,Rural,Community Development,61,59.1,78.6,Low
B00162,Delhi,Rural,Education,37,70.1,58.9,Medium
B00163,Rajasthan,Urban,Education,34,72.8,58.3,Medium
B00164,Bihar,Rural,Women Empowerment,18,72.9,82.0,Medium
B00165,West Bengal,Rural,Livelihood,34,80.0,63.2,Medium
B00166,Uttar Pradesh,Urban,Community Development,39,69.4,33.5,Medium
B00167,Jharkhand,Rural,Education,43,97.2,81.1,High
B00168,Jharkhand,Rural,Healthcare,44,84.3,57.5,High
B00169,West Bengal,Urban,Education,33,67.5,78.5,Medium
B00170,Rajasthan,Rural,Women Empowerment,17,79.2,91.5,Medium
B00171,Delhi,Rural,Community Development,17,79.6,72.2,Medium
B00172,Uttar Pradesh,Rural,Education,17,93.8,85.9,High
B00173,Delhi,Urban,Healthcare,45,70.2,74.2,Medium
B00174,Jharkhand,Rural,Community Development,59,88.0,94.2,High
B00175,West Bengal,Urban,Education,60,78.5,57.1,Medium
B00176,West Bengal,Rural,Community Development,26,97.4,71.9,High
B00177,Delhi,Urban,Community Development,12,94.8,81.4,High
B00178,Rajasthan,Rural,Education,45,80.6,69.3,High
B00179,Bihar,Rural,Education,10,74.6,88.1,Medium
B00180,Bihar,Rural,Women Empowerment,45,84.6,66.0,High
B00181,Bihar,Rural,Education,30,75.7,100.0,Medium
B00182,Rajasthan,Urban,Livelihood,58,99.8,100.0,High
B00183,Uttar Pradesh,Rural,Education,45,79.0,75.9,Medium
B00184,Jharkhand,Urban,Livelihood,52,72.7,79.7,Medium
B00185,West Bengal,Rural,Healthcare,32,72.0,88.7,Medium
B00186,West Bengal,Urban,Women Empowerment,58,62.2,55.4,Medium
B00187,Rajasthan,Rural,Community Development,39,85.2,53.6,High
B00188,Bihar,Urban,Livelihood,45,67.3,89.6,Medium
B00189,Delhi,Rural,Women Empowerment,29,92.3,75.8,High
B00190,Jharkhand,Rural,Women Empowerment,34,61.2,68.8,Medium
B00191,West Bengal,Urban,Community Development,58,79.7,72.2,Medium
B00192,Jharkhand,Urban,Healthcare,31,93.0,38.6,High
B00193,Jharkhand,Rural,Healthcare,9,50.0,69.3,Low
B00194,Uttar Pradesh,Rural,Healthcare,30,100.0,61.5,High
B00195,Bihar,Urban,Women Empowerment,31,72.5,84.9,Medium
B00196,Delhi,Urban,Community Development,33,79.8,85.9,Medium
B00197,Uttar Pradesh,Urban,Healthcare,12,85.4,80.1,High
B00198,Jharkhand,Rural,Education,15,87.4,77.5,High
B00199,West Bengal,Rural,Women Empowerment,27,81.6,51.0,High
B00200,Jharkhand,Urban,Livelihood,33,91.0,80.3,High
B00201,Jharkhand,Rural,Healthcare,9,84.7,80.8,High
B00202,Bihar,Rural,Education,31,100.0,89.4,High
B00203,Jharkhand,Rural,Community Development,27,84.8,100.0,High
B00204,Delhi,Urban,Community Development,10,100.0,48.3,High
B00205,Bihar,Urban,Women Empowerment,23,89.7,66.6,High
B00206,Uttar Pradesh,Urban,Livelihood,24,54.5,61.6,Low
B00207,West Bengal,Urban,Healthcare,16,100.0,74.4,High
B00208,Rajasthan,Urban,Livelihood,53,70.5,72.2,Medium
B00209,Jharkhand,Urban,Education,12,97.4,68.7,High
B00210,Rajasthan,Urban,Healthcare,42,78.3,86.4,Medium
B00211,Uttar Pradesh,Rural,Livelihood,47,91.8,56.6,High
B00212,Uttar Pradesh,Urban,Livelihood,56,69.0,57.4,Medium
B00213,Rajasthan,Rural,Education,40,86.1,57.7,High
B00214,Uttar Pradesh,Urban,Community Development,40,74.7,67.0,Medium
B00215,Jharkhand,Rural,Healthcare,53,98.5,54.8,High
B00216,Uttar Pradesh,Urban,Livelihood,59,83.7,71.3,High
B00217,Uttar Pradesh,Rural,Livelihood,20,90.2,69.7,High
B00218,Delhi,Rural,Livelihood,55,49.9,61.0,Low
B00219,Delhi,Urban,Community Development,35,76.9,84.2,Medium
B00220,Rajasthan,Rural,Women Empowerment,13,83.3,71.2,High
B00221,Rajasthan,Urban,Community Development,44,80.9,86.9,High
B00222,Jharkhand,Rural,Healthcare,66,90.5,69.3,High
B00223,Jharkhand,Urban,Healthcare,16,73.2,71.7,Medium
B00224,Bihar,Urban,Livelihood,8,78.6,64.1,Medium
B00225,Uttar Pradesh,Urban,Livelihood,62,93.4,71.9,High
B00226,Bihar,Rural,Healthcare,43,48.4,82.0,Low
B00227,Rajasthan,Urban,Livelihood,21,85.7,66.2,High
B00228,Uttar Pradesh,Rural,Education,55,73.7,79.3,Medium
B00229,Delhi,Urban,Livelihood,31,66.1,60.6,Medium
B00230,Rajasthan,Urban,Women Empowerment,27,82.4,82.6,High
B00231,West Bengal,Urban,Livelihood,25,94.0,63.9,High
B00232,Jharkhand,Rural,Community Development,43,91.5,83.9,High
B00233,Bihar,Rural,Community Development,16,76.2,72.9,Medium
B00234,Jharkhand,Urban,Community Development,29,89.4,93.3,High
B00235,Jharkhand,Rural,Education,26,89.3,55.8,High
B00236,Uttar Pradesh,Urban,Community Development,11,76.9,51.3,Medium
B00237,West Bengal,Urban,Healthcare,53,69.0,63.4,Medium
B00238,Rajasthan,Rural,Livelihood,8,69.7,52.6,Medium
B00239,Uttar Pradesh,Urban,Livelihood,65,88.9,52.6,High
B00240,Uttar Pradesh,Urban,Healthcare,13,77.5,80.7,Medium
B00241,Uttar Pradesh,Rural,Community Development,29,64.4,71.9,Medium
B00242,Rajasthan,Urban,Women Empowerment,13,56.1,65.3,Low
B00243,Bihar,Rural,Community Development,30,88.8,66.6,High
B00244,Rajasthan,Rural,Community Development,44,70.9,63.6,Medium
B00245,West Bengal,Rural,Livelihood,13,82.3,95.1,High
B00246,Delhi,Rural,Women Empowerment,39,94.1,61.7,High
B00247,Jharkhand,Rural,Livelihood,54,61.0,53.5,Medium
B00248,Rajasthan,Urban,Livelihood,35,77.4,83.1,Medium
B00249,West Bengal,Rural,Women Empowerment,14,75.8,69.0,Medium
B00250,Uttar Pradesh,Rural,Women Empowerment,49,82.9,100.0,High
B00251,Bihar,Rural,Community Development,19,94.1,64.6,High
B00252,Jharkhand,Urban,Women Empowerment,9,60.7,83.8,Medium
B00253,Bihar,Rural,Women Empowerment,34,85.4,87.2,High
B00254,Bihar,Rural,Community Development,24,91.4,64.7,High
B00255,Rajasthan,Urban,Education,9,75.6,61.6,Medium
B00256,Delhi,Rural,Women Empowerment,54,76.2,82.4,Medium
B00257,Jharkhand,Urban,Healthcare,43,83.4,80.0,High
B00258,Uttar Pradesh,Urban,Livelihood,62,82.5,52.3,High
B00259,Bihar,Rural,Women Empowerment,36,85.6,56.2,High
B00260,Bihar,Urban,Healthcare,34,85.3,36.5,High
B00261,Delhi,Urban,Community Development,58,65.2,80.3,Medium
B00262,Bihar,Urban,Livelihood,12,90.9,68.3,High
B00263,Delhi,Urban,Healthcare,29,93.2,69.7,High
B00264,Uttar Pradesh,Rural,Healthcare,55,80.4,48.3,High
B00265,Jharkhand,Rural,Livelihood,25,58.6,56.6,Low
B00266,Jharkhand,Rural,Community Development,61,76.5,65.3,Medium
B00267,Uttar Pradesh,Urban,Education,25,80.5,62.6,High
B00268,Delhi,Rural,Livelihood,32,63.1,73.6,Medium
B00269,Bihar,Rural,Community Development,61,73.3,80.2,Medium
B00270,Uttar Pradesh,Rural,Livelihood,22,59.7,100.0,Low
B00271,Rajasthan,Urban,Livelihood,66,85.9,71.7,High
B00272,Rajasthan,Urban,Healthcare,10,80.2,87.6,High
B00273,Delhi,Rural,Education,23,56.6,60.4,Low
B00274,Rajasthan,Rural,Women Empowerment,43,82.6,48.6,High
B00275,Jharkhand,Urban,Community Development,43,77.3,67.1,Medium
B00276,Bihar,Rural,Livelihood,62,84.7,49.6,High
B00277,Rajasthan,Urban,Livelihood,65,72.9,72.2,Medium
B00278,Delhi,Urban,Education,48,67.6,61.1,Medium
B00279,Jharkhand,Rural,Community Development,47,68.0,44.6,Medium
B00280,Jharkhand,Rural,Community Development,27,71.0,96.3,Medium
B00281,Uttar Pradesh,Urban,Community Development,56,78.2,64.5,Medium
B00282,West Bengal,Rural,Healthcare,46,79.9,49.1,Medium
B00283,Jharkhand,Rural,Women Empowerment,9,75.5,84.6,Medium
B00284,Delhi,Urban,Livelihood,57,72.5,61.8,Medium
B00285,Uttar Pradesh,Rural,Healthcare,29,73.4,87.3,Medium
B00286,West Bengal,Rural,Healthcare,36,100.0,61.7,High
B00287,Uttar Pradesh,Rural,Healthcare,37,68.0,64.4,Medium
B00288,Bihar,Rural,Livelihood,57,70.7,76.8,Medium
B00289,Rajasthan,Rural,Education,24,100.0,80.3,High
B00290,Uttar Pradesh,Urban,Women Empowerment,31,83.5,82.8,High
B00291,Jharkhand,Urban,Livelihood,10,60.1,70.7,Medium
B00292,West Bengal,Rural,Community Development,28,89.0,79.4,High
B00293,Rajasthan,Rural,Healthcare,13,66.2,82.4,Medium
B00294,Jharkhand,Urban,Education,42,89.8,74.8,High
B00295,West Bengal,Urban,Healthcare,61,75.3,70.0,Medium
B00296,Rajasthan,Rural,Community Development,35,72.3,51.8,Medium
B00297,Rajasthan,Urban,Healthcare,62,98.9,80.4,High
B00298,Bihar,Urban,Women Empowerment,66,85.4,72.6,High
B00299,West Bengal,Rural,Community Development,11,90.6,66.2,High
B00300,Uttar Pradesh,Rural,Healthcare,38,83.7,89.9,High
B00301,Rajasthan,Rural,Women Empowerment,39,72.2,52.0,Medium
B00302,Bihar,Rural,Healthcare,31,85.9,95.0,High
B00303,Uttar Pradesh,Urban,Healthcare,57,93.7,71.7,High
B00304,Uttar Pradesh,Rural,Healthcare,31,79.8,76.4,Medium
B00305,Jharkhand,Urban,Women Empowerment,11,100.0,66.5,High
B00306,Bihar,Urban,Community Development,40,89.1,48.7,High
B00307,Bihar,Rural,Healthcare,20,80.8,70.0,High
B00308,Jharkhand,Rural,Healthcare,29,81.3,76.7,High
B00309,Rajasthan,Rural,Community Development,38,79.8,81.5,Medium
B00310,Jharkhand,Urban,Livelihood,51,61.7,69.2,Medium
B00311,Delhi,Rural,Livelihood,24,76.8,41.3,Medium
B00312,Jharkhand,Rural,Women Empowerment,30,80.9,50.4,High
B00313,Jharkhand,Rural,Education,12,72.6,100.0,Medium
B00314,Delhi,Rural,Community Development,31,82.4,56.7,High
B00315,Jharkhand,Urban,Healthcare,42,78.3,92.0,Medium
B00316,Bihar,Rural,Women Empowerment,45,88.1,58.9,High
B00317,Uttar Pradesh,Rural,Livelihood,25,86.6,69.4,High
B00318,West Bengal,Rural,Women Empowerment,11,80.2,80.8,High
B00319,Delhi,Rural,Women Empowerment,42,60.2,60.5,Medium
B00320,Bihar,Rural,Education,47,100.0,94.3,High
B00321,Bihar,Urban,Education,13,76.2,73.1,Medium
B00322,Rajasthan,Urban,Community Development,38,76.9,78.5,Medium
B00323,Uttar Pradesh,Rural,Livelihood,13,73.5,68.3,Medium
B00324,Bihar,Rural,Healthcare,35,71.7,81.2,Medium
B00325,West Bengal,Rural,Education,46,98.1,94.1,High
B00326,Jharkhand,Urban,Education,51,96.0,70.2,High
B00327,Delhi,Urban,Community Development,50,83.8,96.2,High
B00328,Rajasthan,Rural,Community Development,53,76.6,63.4,Medium
B00329,Uttar Pradesh,Rural,Healthcare,22,86.0,82.7,High
B00330,Jharkhand,Urban,Healthcare,58,79.0,78.8,Medium
B00331,West Bengal,Rural,Livelihood,28,75.5,57.0,Medium
B00332,Jharkhand,Urban,Education,30,82.4,75.0,High
B00333,Uttar Pradesh,Rural,Livelihood,55,72.3,72.1,Medium
B00334,West Bengal,Urban,Women Empowerment,27,81.3,60.1,High
B00335,West Bengal,Urban,Community Development,12,80.7,77.0,High
B00336,Bihar,Urban,Healthcare,50,85.8,74.0,High
B00337,Bihar,Rural,Education,47,70.0,71.0,Medium
B00338,West Bengal,Rural,Education,42,87.2,71.0,High
B00339,Bihar,Rural,Healthcare,16,66.2,70.7,Medium
B00340,Rajasthan,Urban,Women Empowerment,45,70.6,66.9,Medium
B00341,Bihar,Urban,Education,19,71.1,74.0,Medium
B00342,Rajasthan,Urban,Women Empowerment,41,64.1,63.0,Medium
B00343,West Bengal,Rural,Livelihood,38,91.2,100.0,High
B00344,Delhi,Urban,Women Empowerment,54,65.4,52.3,Medium
B00345,Uttar Pradesh,Rural,Livelihood,66,68.9,63.8,Medium
B00346,Delhi,Rural,Education,19,94.3,64.9,High
B00347,West Bengal,Rural,Education,14,70.6,100.0,Medium
B00348,West Bengal,Urban,Livelihood,41,75.6,53.5,Medium
B00349,Uttar Pradesh,Rural,Livelihood,65,64.8,78.0,Medium
B00350,Jharkhand,Urban,Community Development,17,88.8,75.5,High
B00351,Rajasthan,Urban,Community Development,37,89.0,76.7,High
B00352,Uttar Pradesh,Rural,Education,32,87.6,89.3,High
B00353,West Bengal,Rural,Healthcare,27,85.0,89.0,High
B00354,Uttar Pradesh,Rural,Healthcare,47,79.0,65.7,Medium
B00355,Rajasthan,Urban,Education,25,71.2,74.7,Medium
B00356,Uttar Pradesh,Rural,Education,37,67.4,45.9,Medium
B00357,Uttar Pradesh,Rural,Education,58,94.8,73.4,High
B00358,Delhi,Urban,Livelihood,30,87.9,60.9,High
B00359,Delhi,Rural,Education,9,69.0,69.4,Medium
B00360,Uttar Pradesh,Urban,Education,61,78.5,48.4,Medium
B00361,Jharkhand,Rural,Education,24,74.1,77.7,Medium
B00362,Bihar,Rural,Women Empowerment,54,63.3,48.2,Medium
B00363,Rajasthan,Rural,Women Empowerment,53,80.3,74.1,High
B00364,Bihar,Rural,Community Development,39,72.6,54.8,Medium
B00365,Delhi,Urban,Education,13,65.6,60.1,Medium
B00366,Rajasthan,Rural,Healthcare,65,58.8,88.2,Low
B00367,Bihar,Rural,Livelihood,48,57.7,80.2,Low
B00368,Bihar,Urban,Women Empowerment,33,73.2,88.1,Medium
B00369,West Bengal,Urban,Education,59,76.9,93.8,Medium
B00370,Bihar,Rural,Healthcare,55,66.6,61.2,Medium
B00371,Rajasthan,Rural,Livelihood,53,86.5,93.0,High
B00372,Delhi,Rural,Education,18,77.1,51.5,Medium
B00373,Rajasthan,Rural,Healthcare,45,85.5,82.4,High
B00374,Uttar Pradesh,Rural,Women Empowerment,25,75.6,65.1,Medium
B00375,Bihar,Urban,Livelihood,12,67.8,59.0,Medium
B00376,Rajasthan,Urban,Livelihood,28,79.5,80.6,Medium
B00377,West Bengal,Rural,Livelihood,14,61.6,85.2,Medium
B00378,Rajasthan,Rural,Community Development,14,85.0,84.8,High
B00379,Uttar Pradesh,Rural,Livelihood,51,65.8,75.0,Medium
B00380,Delhi,Rural,Livelihood,38,89.9,73.8,High
B00381,Jharkhand,Rural,Community Development,31,73.6,79.4,Medium
B00382,Delhi,Rural,Education,19,91.8,76.3,High
B00383,Uttar Pradesh,Rural,Education,54,63.4,79.6,Medium
B00384,Delhi,Urban,Livelihood,46,69.2,74.9,Medium
B00385,Jharkhand,Rural,Healthcare,43,83.0,83.8,High
B00386,Bihar,Rural,Healthcare,19,93.2,49.2,High
B00387,Delhi,Urban,Education,15,99.7,70.2,High
B00388,Uttar Pradesh,Rural,Community Development,15,78.5,52.6,Medium
B00389,Bihar,Rural,Women Empowerment,9,100.0,75.9,High
B00390,Bihar,Rural,Women Empowerment,66,74.2,95.0,Medium
B00391,Delhi,Rural,Education,30,92.3,65.4,High
B00392,Bihar,Urban,Healthcare,47,65.8,73.8,Medium
B00393,Delhi,Urban,Women Empowerment,66,83.5,82.6,High
B00394,Jharkhand,Urban,Livelihood,64,47.6,43.1,Low
B00395,Rajasthan,Urban,Women Empowerment,27,63.4,64.7,Medium
B00396,Bihar,Rural,Women Empowerment,37,84.1,77.1,High
B00397,Delhi,Rural,Livelihood,35,60.9,31.4,Medium
B00398,Bihar,Rural,Women Empowerment,10,83.6,58.3,High
B00399,Delhi,Urban,Healthcare,54,89.8,87.4,High
B00400,Delhi,Urban,Education,42,71.5,86.0,Medium
B00401,West Bengal,Urban,Community Development,30,65.4,77.2,Medium
B00402,Delhi,Rural,Education,41,71.8,84.4,Medium
B00403,Rajasthan,Urban,Healthcare,52,65.4,75.0,Medium
B00404,Bihar,Rural,Education,8,76.7,79.8,Medium
B00405,Bihar,Rural,Healthcare,46,79.3,67.6,Medium
B00406,Bihar,Rural,Healthcare,59,74.0,73.6,Medium
B00407,Delhi,Urban,Education,51,99.8,63.1,High
B00408,Uttar Pradesh,Urban,Livelihood,45,68.6,89.7,Medium
B00409,Bihar,Rural,Community Development,13,96.1,93.3,High
B00410,Uttar Pradesh,Rural,Education,52,64.5,91.3,Medium
B00411,Rajasthan,Urban,Community Development,53,78.9,66.3,Medium
B00412,West Bengal,Rural,Livelihood,37,93.4,58.6,High
B00413,Bihar,Rural,Livelihood,42,92.7,89.9,High
B00414,Rajasthan,Urban,Livelihood,45,72.5,79.6,Medium
B00415,Uttar Pradesh,Urban,Healthcare,15,85.2,76.6,High
B00416,Delhi,Urban,Education,23,83.5,63.1,High
B00417,Uttar Pradesh,Urban,Livelihood,55,71.0,78.0,Medium
