donation_id,donation_date,donor_type,state,program,channel,amount_inr,repeat_donor
D00089,2026-02-24,Individual,Uttar Pradesh,Community Development,Online,5550,False
D00090,2026-03-31,Individual,Delhi,Community Development,UPI,2433,False
D00091,2025-08-26,Community,Delhi,Women Empowerment,Campaign Event,1016,True
D00092,2026-03-16,Individual,Delhi,Education,Bank Transfer,1584,False
D00093,2026-04-05,Individual,West Bengal,Healthcare,Online,1818,False
D00094,2025-07-31,Individual,Uttar Pradesh,Livelihood,Campaign Event,3125,True
D00095,2026-05-06,Individual,Rajasthan,Community Development,Bank Transfer,650,False
D00096,2025-06-07,Individual,West Bengal,Livelihood,Online,958,False
D00097,2025-05-11,Corporate,Uttar Pradesh,Livelihood,UPI,2209,False
D00098,2026-01-08,Corporate,Uttar Pradesh,Education,Bank Transfer,1670,False
D00099,2025-12-14,Community,Uttar Pradesh,Women Empowerment,Campaign Event,2764,False
D00100,2025-03-18,Corporate,Uttar Pradesh,Healthcare,Bank Transfer,716,False
D00101,2026-03-31,Individual,Delhi,Education,UPI,2353,True
D00102,2025-04-20,Corporate,Bihar,Community Development,UPI,4082,False
D00103,2026-03-16,Community,Bihar,Education,Online,2593,False
D00104,2025-01-05,Corporate,Delhi,Education,Bank Transfer,1998,False
D00105,2026-03-12,Community,West Bengal,Education,Online,1675,False
D00106,2026-03-06,Corporate,Uttar Pradesh,Livelihood,UPI,962,False
D00107,2026-03-03,Foundation,Rajasthan,Education,Campaign Event,1705,False
D00108,2025-12-30,Individual,Delhi,Community Development,Campaign Event,4630,False
D00109,2025-09-15,Corporate,Rajasthan,Livelihood,Bank Transfer,1646,False
D00110,2026-01-21,Individual,Uttar Pradesh,Healthcare,Bank Transfer,924,False
D00111,2025-06-01,Individual,Jharkhand,Education,UPI,1244,True
D00112,2026-03-03,Corporate,West Bengal,Livelihood,UPI,2093,False
D00113,2025-10-31,Community,Bihar,Education,Campaign Event,1360,False
D00114,2025-09-08,Community,Rajasthan,Community Development,Online,2590,False
D00115,2025-10-04,Individual,Delhi,Healthcare,Online,2664,False
D00116,2025-11-07,Corporate,Delhi,Livelihood,Bank Transfer,3506,False
D00117,2025-01-21,Corporate,Jharkhand,Education,Bank Transfer,5235,False
D00118,2025-03-18,Individual,Jharkhand,Education,Bank Transfer,3799,True
D00119,2025-05-15,Individual,Bihar,Healthcare,Campaign Event,893,False
D00120,2025-03-04,Individual,Rajasthan,Education,Online,914,False
D00121,2025-08-29,Corporate,Jharkhand,Women Empowerment,Campaign Event,1701,True
D00122,2025-12-31,Individual,Rajasthan,Community Development,UPI,1283,True
D00123,2025-12-24,Community,Delhi,Community Development,UPI,766,False
D00124,2025-09-15,Individual,Jharkhand,Healthcare,UPI,1292,False
D00125,2026-04-12,Community,Delhi,Women Empowerment,Online,1261,False
D00126,2025-11-05,Individual,Rajasthan,Livelihood,UPI,1088,True
D00127,2025-02-13,Corporate,West Bengal,Education,Online,1420,False
D00128,2026-02-22,Individual,Rajasthan,Education,UPI,4356,False
D00129,2025-11-10,Individual,Jharkhand,Livelihood,UPI,2090,False
D00130,2025-12-13,Foundation,West Bengal,Livelihood,UPI,11492,False
D00131,2025-11-05,Community,Delhi,Education,Bank Transfer,2046,True
D00132,2025-10-30,Foundation,Delhi,Community Development,Bank Transfer,1448,False
D00133,2025-02-19,Individual,West Bengal,Women Empowerment,Bank Transfer,1806,True
D00134,2025-11-02,Individual,Bihar,Livelihood,Online,2182,False
D00135,2026-03-11,Individual,West Bengal,Community Development,UPI,2495,True
D00136,2025-06-15,Individual,Bihar,Community Development,Online,8545,False
D00137,2025-11-26,Corporate,Jharkhand,Community Development,Bank Transfer,955,True
D00138,2025-01-17,Corporate,Delhi,Healthcare,UPI,3428,False
D00139,2025-07-09,Corporate,Delhi,Community Development,Online,2103,False
D00140,2025-08-27,Foundation,Delhi,Livelihood,Campaign Event,554,False
D00141,2026-06-21,Corporate,Delhi,Women Empowerment,Bank Transfer,3209,True
D00142,2025-04-28,Foundation,Delhi,Community Development,Online,4658,True
D00143,2025-05-31,Individual,Delhi,Education,UPI,946,False
D00144,2025-08-12,Individual,Jharkhand,Livelihood,UPI,1788,False
D00145,2026-06-26,Corporate,West Bengal,Education,UPI,494,False
D00146,2026-04-11,Foundation,Jharkhand,Healthcare,Campaign Event,700,False
D00147,2025-01-19,Individual,Jharkhand,Livelihood,Bank Transfer,3950,False
D00148,2025-05-08,Individual,Rajasthan,Community Development,Campaign Event,1269,False
D00149,2026-03-25,Corporate,Rajasthan,Community Development,Bank Transfer,784,True
D00150,2025-02-01,Individual,Bihar,Healthcare,UPI,2138,False
D00151,2026-04-13,Individual,West Bengal,Healthcare,Online,1216,False
D00152,2025-06-03,Foundation,Uttar Pradesh,Livelihood,UPI,1264,False
D00153,2026-05-17,Corporate,Uttar Pradesh,Community Development,Bank Transfer,3134,False
D00154,2025-06-10,Individual,West Bengal,Community Development,UPI,753,False
D00155,2025-08-26,Foundation,Bihar,Healthcare,Campaign Event,913,False
D00156,2025-12-28,Individual,Rajasthan,Education,Campaign Event,2021,False
D00157,2025-03-10,Foundation,West Bengal,Women Empowerment,Campaign Event,3724,True
D00158,2025-11-01,Individual,Rajasthan,Healthcare,Online,4556,False
D00159,2025-10-03,Individual,West Bengal,Education,Online,1093,False
D00160,2026-03-05,Individual,Rajasthan,Education,Campaign Event,3636,False
D00161,2026-06-28,Individual,Bihar,Livelihood,Bank Transfer,1000,False
D00162,2025-12-29,Foundation,Rajasthan,Healthcare,Online,7081,True
D00163,2025-08-12,Individual,Bihar,Livelihood,Bank Transfer,769,True
D00164,2025-08-10,Individual,Uttar Pradesh,Healthcare,Campaign Event,4875,True
D00165,2025-08-17,Individual,Bihar,Women Empowerment,Bank Transfer,1100,False
D00166,2026-03-21,Corporate,Delhi,Women Empowerment,Online,8148,True
D00167,2025-06-25,Foundation,West Bengal,Livelihood,UPI,2805,False
D00168,2025-04-02,Community,Uttar Pradesh,Education,Online,840,False
D00169,2025-07-02,Individual,West Bengal,Livelihood,Bank Transfer,1217,False
D00170,2025-01-13,Individual,Jharkhand,Women Empowerment,Online,3234,True
D00171,2025-02-27,Individual,Jharkhand,Healthcare,UPI,3964,False
D00172,2025-02-19,Individual,Rajasthan,Healthcare,Bank Transfer,1707,True
D00173,2026-02-26,Community,Delhi,Livelihood,Campaign Event,1861,False
D00174,2026-01-30,Corporate,Delhi,Healthcare,Bank Transfer,3179,True
D00175,2026-01-16,Individual,Rajasthan,Livelihood,Online,1987,True
D00176,2025-09-10,Individual,Jharkhand,Healthcare,Online,682,True
D00177,2026-01-27,Community,Jharkhand,Healthcare,Online,978,False
D00178,2025-03-30,Individual,Uttar Pradesh,Women Empowerment,Bank Transfer,2147,True
D00179,2026-05-07,Individual,Uttar Pradesh,Livelihood,Online,4479,False
D00180,2025-10-01,Individual,Uttar Pradesh,Livelihood,Bank Transfer,6048,False
D00181,2026-05-28,Individual,Uttar Pradesh,Women Empowerment,Campaign Event,3230,False
D00182,2025-03-25,Individual,Uttar Pradesh,Healthcare,Campaign Event,2233,True
D00183,2025-09-29,Individual,West Bengal,Education,UPI,3156,True
D00184,2026-01-16,Individual,Bihar,Community Development,Campaign Event,1092,False
D00185,2025-09-28,Corporate,Jharkhand,Education,Campaign Event,1605,True
D00186,2025-09-01,Individual,Rajasthan,Livelihood,UPI,970,False
D00187,2025-04-01,Individual,West Bengal,Healthcare,Campaign Event,706,True
D00188,2025-07-28,Community,Delhi,Healthcare,Online,2312,False
D00189,2025-05-11,Corporate,Bihar,Education,Campaign Event,2069,True
D00190,2025-06-14,Individual,Rajasthan,Community Development,Bank Transfer,3015,False
D00191,2026-01-09,Individual,Bihar,Livelihood,UPI,2711,True
D00192,2025-12-11,Foundation,West Bengal,Healthcare,Campaign Event,2159,False
D00193,2025-11-28,Individual,West Bengal,Women Empowerment,Bank Transfer,2733,True
D00194,2025-07-17,Individual,Uttar Pradesh,Education,Online,1743,False
D00195,2026-06-08,Community,West Bengal,Livelihood,Bank Transfer,2453,False
D00196,2025-02-17,Individual,Uttar Pradesh,Livelihood,Bank Transfer,1044,True
D00197,2025-07-07,Corporate,Uttar Pradesh,Livelihood,Campaign Event,2375,True
D00198,2025-03-06,Individual,West Bengal,Education,Campaign Event,2972,True
D00199,2025-07-05,Corporate,Rajasthan,Community Development,UPI,1089,True
D00200,2026-06-10,Individual,Uttar Pradesh,Healthcare,Campaign Event,1871,True
D00201,2025-07-19,Individual,Rajasthan,Women Empowerment,Bank Transfer,1128,False
D00202,2026-05-12,Individual,Rajasthan,Women Empowerment,Bank Transfer,1213,False
D00203,2025-09-28,Individual,West Bengal,Healthcare,Campaign Event,774,True
D00204,2026-01-18,Foundation,Bihar,Education,UPI,4651,False
D00205,2025-09-07,Individual,Uttar Pradesh,Healthcare,UPI,4003,True
D00206,2025-05-26,Individual,West Bengal,Community Development,Bank Transfer,2694,False
D00207,2026-02-22,Corporate,Rajasthan,Community Development,UPI,7901,True
D00208,2026-06-14,Corporate,West Bengal,Community Development,Campaign Event,1562,False
D00209,2025-05-24,Individual,Delhi,Healthcare,Bank Transfer,17490,False
D00210,2026-03-02,Individual,Uttar Pradesh,Women Empowerment,Online,1518,True
D00211,2025-05-23,Community,Rajasthan,Education,Online,2180,True
D00212,2026-01-27,Corporate,Uttar Pradesh,Women Empowerment,Online,1336,False
D00213,2026-03-07,Foundation,Delhi,Livelihood,Bank Transfer,2380,False
D00214,2025-09-03,Community,Rajasthan,Women Empowerment,UPI,3369,False
D00215,2026-02-07,Corporate,Jharkhand,Women Empowerment,Campaign Event,1653,False
D00216,2025-05-29,Individual,Uttar Pradesh,Community Development,Online,6823,False
D00217,2025-02-13,Individual,Bihar,Livelihood,Campaign Event,2154,False
D00218,2025-02-22,Individual,Delhi,Healthcare,UPI,2205,False
D00219,2025-09-02,Corporate,Rajasthan,Livelihood,Online,910,False
D00220,2026-05-08,Community,Delhi,Education,Bank Transfer,2464,False
D00221,2025-03-11,Individual,West Bengal,Education,Bank Transfer,1628,True
D00222,2025-09-06,Individual,Uttar Pradesh,Livelihood,Campaign Event,1141,False
D00223,2026-01-20,Individual,West Bengal,Community Development,Campaign Event,1005,True
D00224,2025-04-21,Community,West Bengal,Livelihood,Campaign Event,13351,True
D00225,2026-01-30,Individual,Jharkhand,Women Empowerment,UPI,1477,False
D00226,2025-06-17,Individual,West Bengal,Education,Bank Transfer,604,True
D00227,2026-03-18,Individual,Jharkhand,Livelihood,Bank Transfer,1066,True
D00228,2025-11-13,Individual,Delhi,Women Empowerment,Campaign Event,1732,True
D00229,2025-10-26,Individual,West Bengal,Healthcare,Online,2712,False
D00230,2025-04-07,Individual,Rajasthan,Education,Bank Transfer,2729,False
D00231,2025-09-10,Individual,Rajasthan,Education,Online,2990,True
D00232,2026-04-13,Individual,Uttar Pradesh,Community Development,Bank Transfer,1110,True
D00233,2025-01-11,Individual,West Bengal,Women Empowerment,Bank Transfer,2324,False
D00234,2026-02-19,Individual,Bihar,Healthcare,Online,933,False
D00235,2025-09-27,Individual,Jharkhand,Healthcare,Bank Transfer,1131,True
D00236,2026-01-28,Corporate,Jharkhand,Education,Campaign Event,904,False
D00237,2025-12-29,Individual,Delhi,Community Development,UPI,738,False
D00238,2025-08-24,Individual,Rajasthan,Education,Campaign Event,3999,True
D00239,2025-06-18,Individual,Rajasthan,Women Empowerment,Campaign Event,3017,False
D00240,2025-12-09,Individual,Bihar,Healthcare,Campaign Event,3744,False
D00241,2025-03-18,Individual,Uttar Pradesh,Healthcare,Bank Transfer,1854,False
D00242,2025-11-15,Individual,Uttar Pradesh,Healthcare,Campaign Event,3223,False
D00243,2025-02-21,Foundation,Rajasthan,Community Development,Campaign Event,480,False
D00244,2025-12-21,Individual,Jharkhand,Education,Campaign Event,3439,False
D00245,2025-12-10,Individual,West Bengal,Healthcare,Bank Transfer,2056,False
D00246,2025-02-16,Individual,West Bengal,Healthcare,Online,2881,False
D00247,2026-02-18,Individual,West Bengal,Healthcare,UPI,2394,False
D00248,2025-08-16,Individual,Bihar,Education,Campaign Event,859,False
D00249,2026-03-06,Corporate,Bihar,Community Development,Campaign Event,585,False
D00250,2025-01-23,Foundation,Delhi,Healthcare,UPI,1055,True
D00251,2025-04-08,Individual,Delhi,Livelihood,Online,2750,True
D00252,2025-09-27,Individual,West Bengal,Healthcare,Bank Transfer,3020,False
D00253,2025-04-13,Individual,Bihar,Community Development,UPI,645,False
D00254,2025-06-30,Individual,Delhi,Healthcare,UPI,862,True
D00255,2025-12-27,Corporate,Uttar Pradesh,Healthcare,Bank Transfer,1046,False
D00256,2025-03-20,Individual,Uttar Pradesh,Healthcare,Bank Transfer,1377,True
D00257,2026-01-06,Individual,Uttar Pradesh,Healthcare,Online,648,True
D00258,2025-02-26,Community,Uttar Pradesh,Education,Bank Transfer,620,False
D00259,2025-04-06,Individual,Jharkhand,Women Empowerment,UPI,972,True
D00260,2025-11-17,Individual,Delhi,Education,Online,1920,False
D00261,2026-03-10,Corporate,Delhi,Healthcare,Campaign Event,743,True
D00262,2025-04-04,Individual,Delhi,Healthcare,Online,1650,False
D00263,2025-06-13,Individual,West Bengal,Healthcare,UPI,3982,True
D00264,2026-05-21,Individual,Rajasthan,Women Empowerment,Bank Transfer,678,False
D00265,2026-06-25,Community,Jharkhand,Livelihood,Campaign Event,1542,False
D00266,2025-11-14,Individual,Jharkhand,Community Development,Campaign Event,3882,True
D00267,2025-09-02,Individual,West Bengal,Healthcare,UPI,1315,True
D00268,2025-07-09,Individual,West Bengal,Community Development,UPI,1171,True
D00269,2025-12-01,Individual,Bihar,Education,UPI,4308,False
D00270,2025-11-19,Corporate,Rajasthan,Livelihood,UPI,1431,False
D00271,2025-06-10,Individual,Bihar,Women Empowerment,Online,4121,False
D00272,2025-01-13,Individual,Delhi,Livelihood,Bank Transfer,2483,False
D00273,2025-03-24,Individual,Jharkhand,Community Development,Online,1392,False
D00274,2026-06-08,Foundation,Delhi,Healthcare,Bank Transfer,2579,False
D00275,2025-08-17,Individual,Uttar Pradesh,Education,UPI,2289,False
D00276,2025-09-21,Foundation,Rajasthan,Women Empowerment,Online,3871,False
D00277,2025-09-13,Individual,Bihar,Education,Online,1193,False
D00278,2026-03-04,Individual,Uttar Pradesh,Women Empowerment,Campaign Event,1856,False
D00279,2025-02-05,Corporate,Rajasthan,Women Empowerment,Bank Transfer,1719,True
D00280,2025-02-15,Foundation,West Bengal,Community Development,Online,3052,True
D00281,2025-05-31,Individual,Bihar,Livelihood,UPI,834,True
D00282,2025-09-23,Community,West Bengal,Community Development,UPI,3859,False
D00283,2026-01-02,Individual,Rajasthan,Education,Campaign Event,2554,True
D00284,2025-09-25,Individual,Bihar,Livelihood,Campaign Event,670,False
D00285,2025-08-29,Community,Delhi,Education,Campaign Event,4455,False
D00286,2026-05-28,Individual,Delhi,Women Empowerment,UPI,9615,False
D00287,2025-03-29,Foundation,Bihar,Women Empowerment,Bank Transfer,3816,False
D00288,2025-11-09,Individual,Uttar Pradesh,Community Development,Campaign Event,5249,True
D00289,2025-10-24,Corporate,Uttar Pradesh,Women Empowerment,Bank Transfer,1919,False
D00290,2025-09-16,Individual,Uttar Pradesh,Healthcare,Bank Transfer,518,True
D00291,2026-03-17,Individual,Delhi,Education,Campaign Event,451,False
D00292,2025-05-26,Individual,Delhi,Community Development,Campaign Event,2180,False
D00293,2026-06-05,Individual,Uttar Pradesh,Livelihood,Bank Transfer,1155,False
D00294,2025-07-01,Individual,Uttar Pradesh,Education,UPI,907,False
D00295,2025-10-25,Individual,Uttar Pradesh,Community Development,Campaign Event,1717,False
D00296,2025-10-12,Individual,West Bengal,Community Development,Campaign Event,2856,False
D00297,2026-04-09,Individual,Uttar Pradesh,Livelihood,Online,605,False
D00298,2025-08-28,Individual,Rajasthan,Women Empowerment,UPI,1285,False
D00299,2025-06-05,Corporate,Jharkhand,Education,Online,5586,True
D00300,2025-01-12,Corporate,West Bengal,Education,Campaign Event,804,True
D00301,2025-07-18,Corporate,Jharkhand,Healthcare,Online,3456,False
D00302,2026-03-28,Individual,Uttar Pradesh,Women Empowerment,Campaign Event,1251,True
D00303,2025-01-06,Foundation,Jharkhand,Education,Online,2710,False
D00304,2026-05-05,Individual,Uttar Pradesh,Education,Bank Transfer,4099,False
D00305,2025-10-24,Individual,Bihar,Women Empowerment,Online,3139,False
D00306,2025-03-18,Individual,Uttar Pradesh,Women Empowerment,Campaign Event,3560,True
D00307,2025-06-14,Corporate,Uttar Pradesh,Women Empowerment,Bank Transfer,759,False
D00308,2025-10-30,Individual,Bihar,Women Empowerment,UPI,4150,True
D00309,2025-06-22,Individual,Bihar,Community Development,Online,950,False
D00310,2025-03-01,Community,Rajasthan,Women Empowerment,Bank Transfer,2187,False
D00311,2025-12-30,Individual,Jharkhand,Livelihood,Campaign Event,2185,True
D00312,2026-01-03,Individual,Delhi,Community Development,Campaign Event,2590,True
D00313,2025-03-06,Community,Rajasthan,Healthcare,Online,2318,True
D00314,2025-06-03,Individual,Uttar Pradesh,Education,Bank Transfer,956,False
D00315,2025-05-14,Individual,Delhi,Women Empowerment,Bank Transfer,654,False
D00316,2025-12-27,Foundation,Rajasthan,Healthcare,UPI,3463,True
D00317,2026-02-03,Foundation,Jharkhand,Community Development,UPI,2069,True
D00318,2026-02-01,Individual,Delhi,Livelihood,Online,4262,False
D00319,2026-05-28,Corporate,Uttar Pradesh,Community Development,Campaign Event,1741,True
D00320,2026-02-24,Individual,Bihar,Education,Online,627,False
D00321,2025-06-25,Individual,Bihar,Women Empowerment,Bank Transfer,3715,False
D00322,2025-02-28,Individual,Bihar,Livelihood,Campaign Event,1363,False
D00323,2025-12-02,Individual,West Bengal,Livelihood,UPI,2326,False
D00324,2026-05-16,Corporate,Jharkhand,Healthcare,Bank Transfer,1108,False
D00325,2026-06-17,Foundation,Delhi,Community Development,Campaign Event,6178,False
D00326,2025-05-06,Individual,West Bengal,Healthcare,Bank Transfer,933,True
D00327,2025-05-10,Individual,Bihar,Community Development,UPI,1398,True
D00328,2025-01-21,Individual,Uttar Pradesh,Livelihood,Online,1951,False
D00329,2025-03-19,Foundation,Delhi,Education,Online,793,True
D00330,2025-10-30,Individual,Rajasthan,Community Development,Bank Transfer,2306,False
D00331,2025-10-26,Individual,Jharkhand,Education,UPI,6030,False
D00332,2025-07-22,Individual,Rajasthan,Healthcare,Campaign Event,1246,False
D00333,2025-06-19,Individual,Uttar Pradesh,Community Development,Bank Transfer,2421,True
D00334,2026-03-30,Corporate,Rajasthan,Community Development,Campaign Event,250,False
D00335,2025-09-09,Corporate,Bihar,Community Development,UPI,1748,False
D00336,2026-03-18,Individual,Uttar Pradesh,Livelihood,Online,1423,True
D00337,2026-06-10,Corporate,Jharkhand,Women Empowerment,UPI,974,False
D00338,2025-06-23,Community,Bihar,Healthcare,UPI,4051,False
D00339,2025-04-21,Individual,Rajasthan,Women Empowerment,Bank Transfer,1409,False
D00340,2026-06-05,Individual,Rajasthan,Livelihood,Bank Transfer,1576,False
D00341,2025-12-13,Individual,Jharkhand,Education,Bank Transfer,1356,True
D00342,2025-06-08,Corporate,Uttar Pradesh,Livelihood,UPI,427,False
D00343,2025-12-06,Individual,Bihar,Livelihood,UPI,770,False
D00344,2025-10-09,Individual,Jharkhand,Healthcare,Bank Transfer,3701,True
D00345,2026-05-10,Individual,Jharkhand,Healthcare,Bank Transfer,370,False
D00346,2025-05-20,Foundation,West Bengal,Livelihood,Bank Transfer,1013,True
D00347,2026-06-26,Individual,Jharkhand,Education,Bank Transfer,1334,True
D00348,2026-05-27,Corporate,Bihar,Education,Bank Transfer,6656,False
D00349,2025-04-09,Individual,Bihar,Women Empowerment,Bank Transfer,3203,True
D00350,2025-03-31,Community,West Bengal,Healthcare,UPI,1185,False
D00351,2025-10-19,Individual,Bihar,Women Empowerment,Online,4788,True
D00352,2025-01-25,Individual,Rajasthan,Livelihood,UPI,1033,False
D00353,2025-06-13,Foundation,Bihar,Livelihood,Online,3837,True
D00354,2025-08-26,Community,West Bengal,Livelihood,Bank Transfer,650,False
D00355,2026-06-14,Individual,Rajasthan,Livelihood,Campaign Event,4026,True
D00356,2026-06-26,Individual,Delhi,Community Development,Campaign Event,1327,False
D00357,2025-03-24,Corporate,Bihar,Community Development,UPI,832,True
D00358,2026-05-02,Foundation,Rajasthan,Healthcare,UPI,1529,True
D00359,2025-02-19,Individual,Uttar Pradesh,Women Empowerment,Online,2216,False
D00360,2026-02-13,Individual,Jharkhand,Community Development,Bank Transfer,1242,False
D00361,2026-04-07,Corporate,Rajasthan,Education,UPI,2727,False
D00362,2026-05-02,Corporate,West Bengal,Women Empowerment,Campaign Event,1162,True
D00363,2025-05-02,Corporate,Bihar,Livelihood,UPI,2866,True
D00364,2026-05-03,Individual,West Bengal,Community Development,Campaign Event,2508,False
D00365,2025-03-05,Individual,Bihar,Livelihood,Bank Transfer,1720,False
D00366,2025-10-11,Community,West Bengal,Community Development,Online,1293,True
D00367,2025-09-14,Foundation,Jharkhand,Education,Online,2017,False
